🦵🏻	cic, cos, cos: ton cnis geal, géag, ton cnis geal
🇳🇺	bratach, bratach: Niue
🇳🇿	bratach, bratach: an Nua-Shéalainn
🇴🇲	bratach, bratach: Óman
🇵🇦	bratach, bratach: Panama
🇵🇪	bratach, bratach: Peiriú
🇵🇫	bratach, bratach: Polainéis na Fraince
🇵🇬	bratach, bratach: Nua-Ghuine Phapua
🇵🇭	bratach, bratach: na hOileáin Fhilipíneacha
🇵🇰	bratach, bratach: an Phacastáin
🇵🇱	bratach, bratach: an Pholainn
🇵🇲	bratach, bratach: San Pierre agus Miquelon
🇵🇳	bratach, bratach: Oileáin Pitcairn
🇵🇷	bratach, bratach: Pórtó Ríce
🇵🇸	bratach, bratach: na Críocha Palaistíneacha
🇵🇹	bratach, bratach: an Phortaingéil
🇵🇼	bratach, bratach: Oileáin Palau
🇵🇾	bratach, bratach: Paragua
🇶🇦	bratach, bratach: Catar
🇷🇪	bratach, bratach: Réunion
🇷🇴	bratach, bratach: an Rómáin
🇷🇸	bratach, bratach: an tSeirbia
🇷🇺	bratach, bratach: an Rúis
🇷🇼	bratach, bratach: Ruanda
🇸🇦	bratach, bratach: an Araib Shádach
🇸🇧	bratach, bratach: Oileáin Sholomón
🇸🇨	bratach, bratach: na Séiséil
🇸🇩	bratach, bratach: an tSúdáin
🇸🇪	bratach, bratach: an tSualainn
🇸🇬	bratach, bratach: Singeapór
🇸🇭	bratach, bratach: San Héilin
🇸🇮	bratach, bratach: an tSlóivéin
🇸🇯	bratach, bratach: Svalbard agus Jan Mayen
🇸🇰	bratach, bratach: an tSlóvaic
🇸🇱	bratach, bratach: Siarra Leon
🇸🇲	bratach, bratach: San Mairíne
🇸🇳	bratach, bratach: an tSeineagáil
🇸🇴	bratach, bratach: an tSomáil
🇸🇷	bratach, bratach: Suranam
🇸🇸	bratach, bratach: an tSúdáin Theas
🇸🇹	bratach, bratach: São Tomé agus Príncipe
🇸🇻	bratach, bratach: an tSalvadóir
🇸🇽	bratach, bratach: Sint Maarten
🇸🇾	bratach, bratach: an tSiria
🇸🇿	bratach, bratach: an tSuasalainn
🇹🇦	bratach, bratach: Tristan da Cunha
🇹🇨	bratach, bratach: Oileáin na dTurcach agus Caicos
🇹🇩	bratach, bratach: Sead
🇹🇫	bratach, bratach: Críocha Francacha Dheisceart an Domhain
🇹🇬	bratach, bratach: Tóga
🇹🇭	bratach, bratach: an Téalainn
🇹🇯	bratach, bratach: an Táidsíceastáin
🇹🇰	bratach, bratach: Tócalá
🇹🇱	bratach, bratach: Tíomór Thoir
🇹🇲	bratach, bratach: an Tuircméanastáin
🇹🇳	bratach, bratach: an Túinéis
🇹🇴	bratach, bratach: Tonga
🇹🇷	bratach, bratach: an Tuirc
🇹🇹	bratach, bratach: Oileán na Tríonóide agus Tobága
🇹🇻	bratach, bratach: Tuvalu
🇹🇼	bratach, bratach: an Téaváin
🇹🇿	bratach, bratach: an Tansáin
🇺🇦	bratach, bratach: an Úcráin
🇺🇬	bratach, bratach: Uganda
🇺🇲	bratach, bratach: Oileáin Imeallacha S.A.M.
🇺🇳	bratach, bratach: na Náisiúin Aontaiteh
🇺🇸	bratach, bratach: Stáit Aontaithe Mheiriceá
🇺🇾	bratach, bratach: Uragua
🇺🇿	bratach, bratach: an Úisbéiceastáin
🇻🇦	bratach, bratach: Cathair na Vatacáine
🇻🇨	bratach, bratach: San Uinseann agus na Greanáidíní
🇻🇪	bratach, bratach: Veiniséala
🇻🇬	bratach, bratach: Oileáin Bhriotanacha na Maighdean
🇻🇮	bratach, bratach: Oileáin Mheiriceánacha na Maighdean
🇻🇳	bratach, bratach: Vítneam
🇻🇺	bratach, bratach: Vanuatú
🇼🇫	bratach, bratach: Vailís agus Futúna
🇼🇸	bratach, bratach: Samó
🇽🇰	bratach, bratach: an Chosaiv
🇾🇪	bratach, bratach: Éimin
🇾🇹	bratach, bratach: Mayotte
🇿🇦	bratach, bratach: an Afraic Theas
🇿🇲	bratach, bratach: an tSaimbia
🇿🇼	bratach, bratach: an tSiombáib
0⃣	caipín eochrach, caipín eochrach: 0
1⃣	caipín eochrach, caipín eochrach: 1
2⃣	caipín eochrach, caipín eochrach: 2
3⃣	caipín eochrach, caipín eochrach: 3
4⃣	caipín eochrach, caipín eochrach: 4
5⃣	caipín eochrach, caipín eochrach: 5
6⃣	caipín eochrach, caipín eochrach: 6
7⃣	caipín eochrach, caipín eochrach: 7
8⃣	caipín eochrach, caipín eochrach: 8
9⃣	caipín eochrach, caipín eochrach: 9
