🦵🏻	karnacja jasna, kopniak, kończyna, noga, noga: karnacja jasna
🙏🏽	karnacja średnia, złożone ręce, złożone ręce: karnacja średnia
🙏🏾	karnacja średnio ciemna, złożone ręce, złożone ręce: karnacja średnio ciemna
🙏🏿	karnacja ciemna, złożone ręce, złożone ręce: karnacja ciemna
💅🏻	ciało, karnacja jasna, kosmetyki, lakier do paznokci, lakier do paznokci: karnacja jasna, lakierować paznokcie, manicure, pielęgnacja
💅🏼	ciało, karnacja średnio jasna, kosmetyki, lakier do paznokci, lakier do paznokci: karnacja średnio jasna, lakierować paznokcie, manicure, pielęgnacja
💅🏽	ciało, karnacja średnia, kosmetyki, lakier do paznokci, lakier do paznokci: karnacja średnia, lakierować paznokcie, manicure, pielęgnacja
💅🏾	ciało, karnacja średnio ciemna, kosmetyki, lakier do paznokci, lakier do paznokci: karnacja średnio ciemna, lakierować paznokcie, manicure, pielęgnacja
💅🏿	ciało, karnacja ciemna, kosmetyki, lakier do paznokci, lakier do paznokci: karnacja ciemna, lakierować paznokcie, manicure, pielęgnacja
👂🏻	ciało, karnacja jasna, ucho, ucho: karnacja jasna
👂🏼	ciało, karnacja średnio jasna, ucho, ucho: karnacja średnio jasna
👂🏽	ciało, karnacja średnia, ucho, ucho: karnacja średnia
👂🏾	ciało, karnacja średnio ciemna, ucho, ucho: karnacja średnio ciemna
👂🏿	ciało, karnacja ciemna, ucho, ucho: karnacja ciemna
👃🏻	ciało, karnacja jasna, nos, nos: karnacja jasna
👃🏼	ciało, karnacja średnio jasna, nos, nos: karnacja średnio jasna
👃🏽	ciało, karnacja średnia, nos, nos: karnacja średnia
👃🏾	ciało, karnacja średnio ciemna, nos, nos: karnacja średnio ciemna
👃🏿	ciało, karnacja ciemna, nos, nos: karnacja ciemna
#⃣	klawisz, klawisz: #
*⃣	klawisz, klawisz: *
🔟	klawisz, klawisz: 10
🇦🇨	flaga, flaga: Wyspa Wniebowstąpienia
🇦🇩	flaga, flaga: Andora
🇦🇪	flaga, flaga: Zjednoczone Emiraty Arabskie
🇦🇫	flaga, flaga: Afganistan
🇦🇬	flaga, flaga: Antigua i Barbuda
🇦🇮	flaga, flaga: Anguilla
🇦🇱	flaga, flaga: Albania
🇦🇲	flaga, flaga: Armenia
🇦🇴	flaga, flaga: Angola
🇦🇶	flaga, flaga: Antarktyda
🇦🇷	flaga, flaga: Argentyna
🇦🇸	flaga, flaga: Samoa Amerykańskie
🇦🇹	flaga, flaga: Austria
🇦🇺	flaga, flaga: Australia
🇦🇼	flaga, flaga: Aruba
🇦🇽	flaga, flaga: Wyspy Alandzkie
🇦🇿	flaga, flaga: Azerbejdżan
🇧🇦	flaga, flaga: Bośnia i Hercegowina
🇧🇧	flaga, flaga: Barbados
🇧🇩	flaga, flaga: Bangladesz
🇧🇪	flaga, flaga: Belgia
🇧🇫	flaga, flaga: Burkina Faso
🇧🇬	flaga, flaga: Bułgaria
🇧🇭	flaga, flaga: Bahrajn
🇧🇮	flaga, flaga: Burundi
🇧🇯	flaga, flaga: Benin
🇧🇱	flaga, flaga: Saint-Barthélemy
🇧🇲	flaga, flaga: Bermudy
🇧🇳	flaga, flaga: Brunei
🇧🇴	flaga, flaga: Boliwia
🇧🇶	flaga, flaga: Niderlandy Karaibskie
🇧🇷	flaga, flaga: Brazylia
🇧🇸	flaga, flaga: Bahamy
🇧🇹	flaga, flaga: Bhutan
🇧🇻	flaga, flaga: Wyspa Bouveta
🇧🇼	flaga, flaga: Botswana
🇧🇾	flaga, flaga: Białoruś
🇧🇿	flaga, flaga: Belize
🇨🇦	flaga, flaga: Kanada
🇨🇨	flaga, flaga: Wyspy Kokosowe
🇨🇩	flaga, flaga: Demokratyczna Republika Konga
🇨🇫	flaga, flaga: Republika Środkowoafrykańska
🇨🇬	flaga, flaga: Kongo
🇨🇭	flaga, flaga: Szwajcaria
🇨🇮	flaga, flaga: Côte d’Ivoire
🇨🇰	flaga, flaga: Wyspy Cooka
🇨🇱	flaga, flaga: Chile
🇨🇲	flaga, flaga: Kamerun
🇨🇳	flaga, flaga: Chiny
🇨🇴	flaga, flaga: Kolumbia
🇨🇵	flaga, flaga: Clipperton
🇨🇷	flaga, flaga: Kostaryka
🇨🇺	flaga, flaga: Kuba
🇨🇻	flaga, flaga: Republika Zielonego Przylądka
🇨🇼	flaga, flaga: Curaçao
🇨🇽	flaga, flaga: Wyspa Bożego Narodzenia
🇨🇾	flaga, flaga: Cypr
🇨🇿	flaga, flaga: Czechy
🇩🇪	flaga, flaga: Niemcy
🇩🇬	flaga, flaga: Diego Garcia
🇩🇯	flaga, flaga: Dżibuti
🇩🇰	flaga, flaga: Dania
🇩🇲	flaga, flaga: Dominika
🇩🇴	flaga, flaga: Dominikana
🇩🇿	flaga, flaga: Algieria
🇪🇦	flaga, flaga: Ceuta i Melilla
🇪🇨	flaga, flaga: Ekwador
🇪🇪	flaga, flaga: Estonia
🇪🇬	flaga, flaga: Egipt
🇪🇭	flaga, flaga: Sahara Zachodnia
🇪🇷	flaga, flaga: Erytrea
🇪🇸	flaga, flaga: Hiszpania
🇪🇹	flaga, flaga: Etiopia
🇪🇺	flaga, flaga: Unia Europejska
🇫🇮	flaga, flaga: Finlandia
🇫🇯	flaga, flaga: Fidżi
🇫🇰	flaga, flaga: Falklandy
🇫🇲	flaga, flaga: Mikronezja
🇫🇴	flaga, flaga: Wyspy Owcze
🇫🇷	flaga, flaga: Francja
🇬🇦	flaga, flaga: Gabon
🇬🇧	flaga, flaga: Wielka Brytania
🇬🇩	flaga, flaga: Grenada
🇬🇪	flaga, flaga: Gruzja
🇬🇫	flaga, flaga: Gujana Francuska
🇬🇬	flaga, flaga: Guernsey
🇬🇭	flaga, flaga: Ghana
🇬🇮	flaga, flaga: Gibraltar
🇬🇱	flaga, flaga: Grenlandia
🇬🇲	flaga, flaga: Gambia
🇬🇳	flaga, flaga: Gwinea
🇬🇵	flaga, flaga: Gwadelupa
🇬🇶	flaga, flaga: Gwinea Równikowa
🇬🇷	flaga, flaga: Grecja
🇬🇸	flaga, flaga: Georgia Południowa i Sandwich Południowy
🇬🇹	flaga, flaga: Gwatemala
🇬🇺	flaga, flaga: Guam
🇬🇼	flaga, flaga: Gwinea Bissau
🇬🇾	flaga, flaga: Gujana
🇭🇰	flaga, flaga: SRA Hongkong (Chiny)
🇭🇲	flaga, flaga: Wyspy Heard i McDonalda
🇭🇳	flaga, flaga: Honduras
🇭🇷	flaga, flaga: Chorwacja
🇭🇹	flaga, flaga: Haiti
🇭🇺	flaga, flaga: Węgry
🇮🇨	flaga, flaga: Wyspy Kanaryjskie
🇮🇩	flaga, flaga: Indonezja
🇮🇪	flaga, flaga: Irlandia
🇮🇱	flaga, flaga: Izrael
🇮🇲	flaga, flaga: Wyspa Man
🇮🇳	flaga, flaga: Indie
🇮🇴	flaga, flaga: Brytyjskie Terytorium Oceanu Indyjskiego
🇮🇶	flaga, flaga: Irak
🇮🇷	flaga, flaga: Iran
🇮🇸	flaga, flaga: Islandia
🇮🇹	flaga, flaga: Włochy
🇯🇪	flaga, flaga: Jersey
🇯🇲	flaga, flaga: Jamajka
🇯🇴	flaga, flaga: Jordania
🇯🇵	flaga, flaga: Japonia
🇰🇪	flaga, flaga: Kenia
🇰🇬	flaga, flaga: Kirgistan
🇰🇭	flaga, flaga: Kambodża
🇰🇮	flaga, flaga: Kiribati
🇰🇲	flaga, flaga: Komory
🇰🇳	flaga, flaga: Saint Kitts i Nevis
🇰🇵	flaga, flaga: Korea Północna
🇰🇷	flaga, flaga: Korea Południowa
🇰🇼	flaga, flaga: Kuwejt
🇰🇾	flaga, flaga: Kajmany
🇰🇿	flaga, flaga: Kazachstan
🇱🇦	flaga, flaga: Laos
🇱🇧	flaga, flaga: Liban
🇱🇨	flaga, flaga: Saint Lucia
🇱🇮	flaga, flaga: Liechtenstein
🇱🇰	flaga, flaga: Sri Lanka
🇱🇷	flaga, flaga: Liberia
🇱🇸	flaga, flaga: Lesotho
🇱🇹	flaga, flaga: Litwa
🇱🇺	flaga, flaga: Luksemburg
🇱🇻	flaga, flaga: Łotwa
🇱🇾	flaga, flaga: Libia
🇲🇦	flaga, flaga: Maroko
🇲🇨	flaga, flaga: Monako
🇲🇩	flaga, flaga: Mołdawia
🇲🇪	flaga, flaga: Czarnogóra
🇲🇫	flaga, flaga: Saint-Martin
🇲🇬	flaga, flaga: Madagaskar
🇲🇭	flaga, flaga: Wyspy Marshalla
🇲🇰	flaga, flaga: Macedonia
🇲🇱	flaga, flaga: Mali
🇲🇲	flaga, flaga: Mjanma (Birma)
🇲🇳	flaga, flaga: Mongolia
🇲🇴	flaga, flaga: SRA Makau (Chiny)
🇲🇵	flaga, flaga: Mariany Północne
🇲🇶	flaga, flaga: Martynika
🇲🇷	flaga, flaga: Mauretania
🇲🇸	flaga, flaga: Montserrat
🇲🇹	flaga, flaga: Malta
🇲🇺	flaga, flaga: Mauritius
🇲🇻	flaga, flaga: Malediwy
🇲🇼	flaga, flaga: Malawi
🇲🇽	flaga, flaga: Meksyk
🇲🇾	flaga, flaga: Malezja
🇲🇿	flaga, flaga: Mozambik
🇳🇦	flaga, flaga: Namibia
🇳🇨	flaga, flaga: Nowa Kaledonia
🇳🇪	flaga, flaga: Niger
🇳🇫	flaga, flaga: Norfolk
🇳🇬	flaga, flaga: Nigeria
🇳🇮	flaga, flaga: Nikaragua
🇳🇱	flaga, flaga: Holandia
🇳🇴	flaga, flaga: Norwegia
🇳🇵	flaga, flaga: Nepal
🇳🇷	flaga, flaga: Nauru
🇳🇺	flaga, flaga: Niue
🇳🇿	flaga, flaga: Nowa Zelandia
🇴🇲	flaga, flaga: Oman
🇵🇦	flaga, flaga: Panama
🇵🇪	flaga, flaga: Peru
🇵🇫	flaga, flaga: Polinezja Francuska
🇵🇬	flaga, flaga: Papua-Nowa Gwinea
🇵🇭	flaga, flaga: Filipiny
🇵🇰	flaga, flaga: Pakistan
🇵🇱	flaga, flaga: Polska
🇵🇲	flaga, flaga: Saint-Pierre i Miquelon
🇵🇳	flaga, flaga: Pitcairn
🇵🇷	flaga, flaga: Portoryko
🇵🇸	flaga, flaga: Terytoria Palestyńskie
🇵🇹	flaga, flaga: Portugalia
🇵🇼	flaga, flaga: Palau
🇵🇾	flaga, flaga: Paragwaj
🇶🇦	flaga, flaga: Katar
🇷🇪	flaga, flaga: Reunion
🇷🇴	flaga, flaga: Rumunia
🇷🇸	flaga, flaga: Serbia
🇷🇺	flaga, flaga: Rosja
🇷🇼	flaga, flaga: Rwanda
🇸🇦	flaga, flaga: Arabia Saudyjska
🇸🇧	flaga, flaga: Wyspy Salomona
🇸🇨	flaga, flaga: Seszele
🇸🇩	flaga, flaga: Sudan
🇸🇪	flaga, flaga: Szwecja
🇸🇬	flaga, flaga: Singapur
🇸🇭	flaga, flaga: Wyspa Świętej Heleny
🇸🇮	flaga, flaga: Słowenia
🇸🇯	flaga, flaga: Svalbard i Jan Mayen
🇸🇰	flaga, flaga: Słowacja
🇸🇱	flaga, flaga: Sierra Leone
🇸🇲	flaga, flaga: San Marino
🇸🇳	flaga, flaga: Senegal
🇸🇴	flaga, flaga: Somalia
🇸🇷	flaga, flaga: Surinam
🇸🇸	flaga, flaga: Sudan Południowy
🇸🇹	flaga, flaga: Wyspy Świętego Tomasza i Książęca
🇸🇻	flaga, flaga: Salwador
🇸🇽	flaga, flaga: Sint Maarten
🇸🇾	flaga, flaga: Syria
🇸🇿	flaga, flaga: Suazi
🇹🇦	flaga, flaga: Tristan da Cunha
🇹🇨	flaga, flaga: Turks i Caicos
🇹🇩	flaga, flaga: Czad
🇹🇫	flaga, flaga: Francuskie Terytoria Południowe i Antarktyczne
🇹🇬	flaga, flaga: Togo
🇹🇭	flaga, flaga: Tajlandia
🇹🇯	flaga, flaga: Tadżykistan
🇹🇰	flaga, flaga: Tokelau
🇹🇱	flaga, flaga: Timor Wschodni
🇹🇲	flaga, flaga: Turkmenistan
🇹🇳	flaga, flaga: Tunezja
🇹🇴	flaga, flaga: Tonga
🇹🇷	flaga, flaga: Turcja
🇹🇹	flaga, flaga: Trynidad i Tobago
🇹🇻	flaga, flaga: Tuvalu
🇹🇼	flaga, flaga: Tajwan
🇹🇿	flaga, flaga: Tanzania
🇺🇦	flaga, flaga: Ukraina
🇺🇬	flaga, flaga: Uganda
🇺🇲	flaga, flaga: Dalekie Wyspy Mniejsze Stanów Zjednoczonych
🇺🇳	flaga, flaga: Organizacja Narodów Zjednoczonych
🇺🇸	flaga, flaga: Stany Zjednoczone
🇺🇾	flaga, flaga: Urugwaj
🇺🇿	flaga, flaga: Uzbekistan
🇻🇦	flaga, flaga: Watykan
🇻🇨	flaga, flaga: Saint Vincent i Grenadyny
🇻🇪	flaga, flaga: Wenezuela
🇻🇬	flaga, flaga: Brytyjskie Wyspy Dziewicze
🇻🇮	flaga, flaga: Wyspy Dziewicze Stanów Zjednoczonych
🇻🇳	flaga, flaga: Wietnam
🇻🇺	flaga, flaga: Vanuatu
🇼🇫	flaga, flaga: Wallis i Futuna
🇼🇸	flaga, flaga: Samoa
🇽🇰	flaga, flaga: Kosowo
🇾🇪	flaga, flaga: Jemen
🇾🇹	flaga, flaga: Majotta
🇿🇦	flaga, flaga: Republika Południowej Afryki
🇿🇲	flaga, flaga: Zambia
🇿🇼	flaga, flaga: Zimbabwe
🏴󠁧󠁢󠁥󠁮󠁧󠁿	flaga, flaga: Anglia
🏴󠁧󠁢󠁳󠁣󠁴󠁿	flaga, flaga: Szkocja
🏴󠁧󠁢󠁷󠁬󠁳󠁿	flaga, flaga: Walia
0⃣	klawisz, klawisz: 0
1⃣	klawisz, klawisz: 1
2⃣	klawisz, klawisz: 2
3⃣	klawisz, klawisz: 3
4⃣	klawisz, klawisz: 4
5⃣	klawisz, klawisz: 5
6⃣	klawisz, klawisz: 6
7⃣	klawisz, klawisz: 7
8⃣	klawisz, klawisz: 8
9⃣	klawisz, klawisz: 9
🏻	karnacja, karnacja jasna, odcień skóry, typ 1–2
🏼	karnacja, karnacja średnio jasna, odcień skóry, typ 3
🏽	karnacja, karnacja średnia, odcień skóry, typ 4
🏾	karnacja, karnacja średnio ciemna, odcień skóry, typ 5
🏿	karnacja, karnacja ciemna, odcień skóry, typ 6
😀	roześmiana buźka, szeroko uśmiechnięta twarz
😁	szeroko uśmiechnięta twarz o roześmianych oczach, uśmiech, wyszczerzone, zęby, śmiech
😂	twarz ze łzami radości, łzy, śmiech
🤣	kulać się, tarza się ze śmiechu, śmiech
😃	uśmiech, uśmiechnięta twarz z otwartymi ustami, wesoły
😄	uśmiech, uśmiechnięta twarz z otwartymi ustami i roześmianymi oczami, wesoły
😅	kropla potu, uśmiech, uśmiechnięta twarz z otwartymi ustami, oblana zimnym potem, wesoły
😆	satysfakcja, uśmiech, uśmiechnięta twarz z przymrużonymi oczami, wesoły
😉	puszczać oko, twarz puszczająca oko
😊	przyjazny, serdeczny, uśmiech, uśmiechnięta twarz o roześmianych oczach
😋	oblizywać się, twarz delektująca się pysznym jedzeniem
😎	luzak, na luzie, okulary, uśmiechnięta twarz w okularach przeciwsłonecznych, zadowolony
😍	buźka, kocham, serca, uśmiech, uśmiechnięta twarz z oczami w kształcie serca, zakochany
😘	całus, kocham, twarz przesyłająca całusa, ślę całusa
🥰	uwielbienie, uśmiechnięta twarz z 3 sercami, zadurzenie, zakochany
😗	całująca twarz, całus, ślę całusa
😙	całująca twarz o roześmianych oczach, całus, ślę całusa
😚	całująca twarz z zamkniętymi oczami, całus, ślę całusa
🙂	buźka, lekko uśmiechnięta twarz
🤗	twarz z gestem przytulania, uśmiech, ściskam
🤩	buźka, gwiazdy, zafascynowanie, zafascynowany
🤔	buźka, myśląca twarz, myślę, zamyślony, zastanawiam się
🤨	brew, buźka, sceptyczny, twarz z podniesioną brwią
😑	nic, nie mam zdania, nie obchodzi mnie, twarz bez wyrazu
😶	buźka, cisza, nic nie mówię, twarz bez ust
🙄	buźka, przewracam oczami, twarz przewracająca oczami
😏	twarz z uśmieszkiem, uśmieszek
😣	napięcie, uparta twarz, zacięta twarz
😥	smutna twarz z wyrazem ulgi, smutna ulga
😮	twarz z otwartymi ustami, zaskoczenie, zaskoczona buźka
🤐	buzia na kłódkę, nic nie powiem, twarz z zamkiem błyskawicznym na ustach
😯	zaskoczenie, zaskoczona buźka, zdumiona twarz
😪	senna twarz, śpiąca buźka
😫	zmęczenie, zmęczona buźka, zmęczona twarz
😴	sen, spanie, twarz, zzz, śpiąca twarz
😌	odprężona buźka, twarz z wyrazem ulgi
😛	buźka pokazująca język, twarz wystawiająca język
😜	język, mrugnięcie, pokazuję język, twarz wystawiająca język i puszczająca oko
😝	język, okropne, pokazywać język, smak, twarz ze zmrużonymi oczami wystawiająca język, zamknięte oczy
🤤	ślina, śliniąca się twarz, ślinka
😒	niezadowolona buźka, niezadowolona twarz
😓	kropla potu, spocony, twarz ze spuszczonymi oczami oblana potem
😔	zamyślona buźka, zamyślona twarz
😕	zakłopotana buźka, zdezorientowana twarz
🙃	do góry nogami, odwrócona twarz
🤑	hajs, kasa, pieniądze, twarz, twarz z pieniędzmi na ustach
😲	zadziwiona twarz, zaskoczenie, zaskoczona buźka
🙁	grymas, lekko zachmurzona twarz, niezadowolenie
😖	zakłopotana twarz, zirytowana buźka
😞	rozczarowana buźka, rozczarowana twarz
😟	zmartwiona buźka, zmartwiona twarz
😤	prychająca twarz, triumf, twarz z parą wylatującą z nosa, wygrana
😢	buźka ze łzą w oku, płacząca twarz
😭	głośno płacząca twarz, zapłakana buźka
😦	rozzłoszczona buźka, zachmurzona twarz z otwartymi ustami
😧	udręczona twarz, złość
😨	przestraszona twarz, wystraszona buźka
😩	zmęczenie, zmęczona buźka, znużona twarz
🤯	eksplodująca głowa, szok
😬	grymaśna buźka, twarz z grymasem
😰	zaniepokojona twarz oblana potem, zziajana buźka
😱	krzycząca buźka, twarz krzycząca ze strachu
🥵	czerwona twarz, rozgrzana twarz, rozpalony, spocony, uderzenie gorąca, upał
🥶	mróz, niebieska twarz, odmrożenie, sopel lodu, zimno, zmarznięta twarz
😳	twarz z rumieńcami, twarz z wypiekami
🤪	duże, małe, oko, szalona twarz
😵	oszołomiona twarz, oszołomiony
😡	dąsy, nadąsana twarz, twarz, wściekłość, złość
😠	rozgniewana buźka, zagniewana twarz
🤬	przekleństwo, twarz z symbolami na ustach
😷	choroba, lekarz, maska, operacja, pielęgniarka, twarz, twarz w masce medycznej
🤒	choroba, gorączka, temperatura, termometr, twarz z termometrem
🤕	bandaż, czoło, głowa, rana, skaleczenie, twarz z bandażem
🤢	mdłości, twarz z mdłościami, wymiotować
🤮	chory, wymiotująca twarz, wymioty
🤧	katar, kichająca twarz, kichać, na zdrowie, smarkanie
😇	nic nie zrobiłem, uśmiechnięta twarz z aureolą, świętoszek
🤠	głowa w kapeluszu kowbojskim, kapelusz, kowboj, kowbojka
🥳	czapeczka, przyjęcie, trąbka, świętowanie, świętująca twarz
🥴	faliste usta, nierówne oczy, odurzony, oszołomiony, wstawiony, zamroczona twarz
🥺	błagająca twarz, błaganie, litość, słodkie oczy
🤥	długi nos, kłamać, pinokio, twarz kłamcy
🤫	cicho, uciszająca twarz, uciszać
🤭	twarz z ręką na ustach, ups
🧐	twarz z monoklem, wyniosły
🤓	buźka w okularach, inteligent, kujon
😈	diabełek, fantasy, rogi, różki, uśmiechnięta twarz z rogami, wesoły
👿	diabełek, fantasy, rogi, różki, smutny, zagniewana twarz z rogami
🤡	cyrk, klown, twarz klauna
👹	maska, ogr, potwór
👺	diabeł, goblin, maska, stwór
💀	czaszka, duch, kościotrup, potwór, szkielet, trupia czaszka, śmierć
👻	duch, duszek, język, wesoły duch
👾	kosmiczny potwór, kosmita, obcy, potwór, pozaziemski, twarz, ufo
🤖	głowa robota, monstrum, robot, twarz
💩	gnój, obornik, odchody, potwór, twarz
😺	kot, uśmiech, uśmiechnięty kot z otwartym pyszczkiem, zęby
😸	kot, szeroko uśmiechnięty kot o roześmianych oczach, uśmiech, zęby
😹	kot, kot ze łzami radości, płaczę ze śmiechu, uśmiech, zęby
😻	kot, miłość, oczy, serca, uśmiechnięty kot z oczami w kształcie serca, zakochany
😼	ironia, ironiczny, kot, kot z drwiącym uśmiechem, kpiarski, kpina
😽	całuję, całuski, kot, kot przesyłający całusa z zamkniętymi oczami, rumieniec
🙀	kot, przestraszony kot, w szoku, zaskoczony, zdumiony, zszokowany
