🦵🏻	gjymtyrë, këmbë, këmbë: nuancë lëkure e çelët, nuancë lëkure e çelët, shkelm
🇲🇶	flamur, flamur: Martinikë
🇲🇷	flamur, flamur: Mauritani
🇲🇸	flamur, flamur: Montserat
🇲🇹	flamur, flamur: Maltë
🇲🇺	flamur, flamur: Mauritius
🇲🇻	flamur, flamur: Maldive
🇲🇼	flamur, flamur: Malavi
🇲🇽	flamur, flamur: Meksikë
🇲🇾	flamur, flamur: Malajzi
🇲🇿	flamur, flamur: Mozambik
🇳🇦	flamur, flamur: Namibi
🇳🇨	flamur, flamur: Kaledonia e Re
🇳🇪	flamur, flamur: Niger
🇳🇫	flamur, flamur: Ishulli Norfolk
🇳🇬	flamur, flamur: Nigeri
🇳🇮	flamur, flamur: Nikaragua
🇳🇱	flamur, flamur: Holandë
🇳🇴	flamur, flamur: Norvegji
🇳🇵	flamur, flamur: Nepal
🇳🇷	flamur, flamur: Nauru
🇳🇺	flamur, flamur: Niue
🇳🇿	flamur, flamur: Zelandë e Re
🇴🇲	flamur, flamur: Oman
🇵🇦	flamur, flamur: Panama
🇵🇪	flamur, flamur: Peru
🇵🇫	flamur, flamur: Polinezia Franceze
🇵🇬	flamur, flamur: Guineja e Re-Papua
🇵🇭	flamur, flamur: Filipine
🇵🇰	flamur, flamur: Pakistan
🇵🇱	flamur, flamur: Poloni
🇵🇲	flamur, flamur: Shën-Pier dhe Mikelon
🇵🇳	flamur, flamur: Ishujt Pitkern
🇵🇷	flamur, flamur: Porto-Riko
🇵🇸	flamur, flamur: Territoret Palestineze
🇵🇹	flamur, flamur: Portugali
🇵🇼	flamur, flamur: Palau
🇵🇾	flamur, flamur: Paraguai
🇶🇦	flamur, flamur: Katar
🇷🇪	flamur, flamur: Reunion
🇷🇴	flamur, flamur: Rumani
🇷🇸	flamur, flamur: Serbi
🇷🇺	flamur, flamur: Rusi
🇷🇼	flamur, flamur: Ruandë
🇸🇦	flamur, flamur: Arabia Saudite
🇸🇧	flamur, flamur: Ishujt Solomon
🇸🇨	flamur, flamur: Sejshelle
🇸🇩	flamur, flamur: Sudan
🇸🇪	flamur, flamur: Suedi
🇸🇬	flamur, flamur: Singapor
🇸🇭	flamur, flamur: Shën-Helenë
🇸🇮	flamur, flamur: Slloveni
🇸🇯	flamur, flamur: Svalbard e Jan-Majen
🇸🇰	flamur, flamur: Sllovaki
🇸🇱	flamur, flamur: Siera-Leone
🇸🇲	flamur, flamur: San-Marino
🇸🇳	flamur, flamur: Senegal
🇸🇴	flamur, flamur: Somali
🇸🇷	flamur, flamur: Surinami
🇸🇸	flamur, flamur: Sudani i Jugut
🇸🇹	flamur, flamur: Sao-Tome e Principe
🇸🇻	flamur, flamur: Salvador
🇸🇽	flamur, flamur: Sint-Marten
🇸🇾	flamur, flamur: Siri
🇸🇿	flamur, flamur: Svazilandë
🇹🇦	flamur, flamur: Tristan-da-Kuna
🇹🇨	flamur, flamur: Ishujt Turks dhe Kaikos
🇹🇩	flamur, flamur: Çad
🇹🇫	flamur, flamur: Territoret Jugore Franceze
🇹🇬	flamur, flamur: Togo
🇹🇭	flamur, flamur: Tajlandë
🇹🇯	flamur, flamur: Taxhikistan
🇹🇰	flamur, flamur: Tokelau
🇹🇱	flamur, flamur: Timor-Leste
🇹🇲	flamur, flamur: Turkmenistan
🇹🇳	flamur, flamur: Tunizi
🇹🇴	flamur, flamur: Tonga
🇹🇷	flamur, flamur: Turqi
🇹🇹	flamur, flamur: Trinidad e Tobago
🇹🇻	flamur, flamur: Tuvalu
🇹🇼	flamur, flamur: Tajvan
🇹🇿	flamur, flamur: Tanzani
🇺🇦	flamur, flamur: Ukrainë
🇺🇬	flamur, flamur: Ugandë
🇺🇲	flamur, flamur: Ishujt Periferikë të SHBA-së
🇺🇳	flamur, flamur: Kombet e Bashkuara
🇺🇸	flamur, flamur: Shtetet e Bashkuara të Amerikës
🇺🇾	flamur, flamur: Uruguai
🇺🇿	flamur, flamur: Uzbekistan
🇻🇦	flamur, flamur: Vatikan
🇻🇨	flamur, flamur: Shën-Vincent dhe Grenadine
🇻🇪	flamur, flamur: Venezuelë
🇻🇬	flamur, flamur: Ishujt e Virgjër Britanikë
🇻🇮	flamur, flamur: Ishujt e Virgjër të SHBA-së
🇻🇳	flamur, flamur: Vietnam
🇻🇺	flamur, flamur: Vanuatu
🇼🇫	flamur, flamur: Uollis e Futuna
🇼🇸	flamur, flamur: Samoa
🇽🇰	flamur, flamur: Kosovë
🇾🇪	flamur, flamur: Jemen
🇾🇹	flamur, flamur: Majotë
🇿🇦	flamur, flamur: Afrika e Jugut
🇿🇲	flamur, flamur: Zambia
🇿🇼	flamur, flamur: Zimbabve
0⃣	tast, tast: 0
1⃣	tast, tast: 1
2⃣	tast, tast: 2
3⃣	tast, tast: 3
4⃣	tast, tast: 4
5⃣	tast, tast: 5
6⃣	tast, tast: 6
7⃣	tast, tast: 7
8⃣	tast, tast: 8
9⃣	tast, tast: 9
