‾	tapae
🧖🏾‍♀	hāuna, kiri āhua waenga-parauri, taiwhanga mamaoa, wahine rō taiwhanga mamaoa, wahine rō taiwhanga mamaoa: kiri āhua waenga-parauri
🧖🏿‍♀	hāuna, kiri āhua parauri, taiwhanga mamaoa, wahine rō taiwhanga mamaoa, wahine rō taiwhanga mamaoa: kiri āhua parauri
🧗	kaipiki, tangata piki
🧗🏻	kaipiki, kiri āhua māmā, tangata piki, tangata piki: kiri āhua māmā
🧗🏼	kaipiki, kiri āhua māmā-waenga, tangata piki, tangata piki: kiri āhua māmā-waenga
🧗🏽	kaipiki, kiri āhua waenga, tangata piki, tangata piki: kiri āhua waenga
🧗🏾	kaipiki, kiri āhua waenga-parauri, tangata piki, tangata piki: kiri āhua waenga-parauri
🧗🏿	kaipiki, kiri āhua parauri, tangata piki, tangata piki: kiri āhua parauri
🧗‍♂	kaipiki, tāne piki
🧗🏻‍♂	kaipiki, kiri āhua māmā, tāne piki, tāne piki: kiri āhua māmā
🧗🏼‍♂	kaipiki, kiri āhua māmā-waenga, tāne piki, tāne piki: kiri āhua māmā-waenga
🧗🏽‍♂	kaipiki, kiri āhua waenga, tāne piki, tāne piki: kiri āhua waenga
🧗🏾‍♂	kaipiki, kiri āhua waenga-parauri, tāne piki, tāne piki: kiri āhua waenga-parauri
🧗🏿‍♂	kaipiki, kiri āhua parauri, tāne piki, tāne piki: kiri āhua parauri
🧗‍♀	kaipiki, wahine piki
🧗🏻‍♀	kaipiki, kiri āhua māmā, wahine piki, wahine piki: kiri āhua māmā
🧗🏼‍♀	kaipiki, kiri āhua māmā-waenga, wahine piki, wahine piki: kiri āhua māmā-waenga
🧗🏽‍♀	kaipiki, kiri āhua waenga, wahine piki, wahine piki: kiri āhua waenga
🧗🏾‍♀	kaipiki, kiri āhua waenga-parauri, wahine piki, wahine piki: kiri āhua waenga-parauri
🧗🏿‍♀	kaipiki, kiri āhua parauri, wahine piki, wahine piki: kiri āhua parauri
🤺	hoari, kaimatātuhi, matātuhi hoari, tangata matātuhi
🏇	hoiho, hoiho tauoma, kaieke, tauomaoma, tauomaoma hoiho
🏇🏻	hoiho, hoiho tauoma, kaieke, kiri āhua māmā, tauomaoma, tauomaoma hoiho: kiri āhua māmā
🏇🏼	hoiho, hoiho tauoma, kaieke, kiri āhua māmā-waenga, tauomaoma, tauomaoma hoiho: kiri āhua māmā-waenga
🏇🏽	hoiho, hoiho tauoma, kaieke, kiri āhua waenga, tauomaoma, tauomaoma hoiho: kiri āhua waenga
🏇🏾	hoiho, hoiho tauoma, kaieke, kiri āhua waenga-parauri, tauomaoma, tauomaoma hoiho: kiri āhua waenga-parauri
🏇🏿	hoiho, hoiho tauoma, kaieke, kiri āhua parauri, tauomaoma, tauomaoma hoiho: kiri āhua parauri
⛷️	hukarere, kairetihuka, retihuka
🏂️	hukarere, kaipaparetihuka, paparetihuka, retihuka
🏂🏻	hukarere, kaipaparetihuka, kaipaparetihuka: kiri āhua māmā, kiri āhua māmā, paparetihuka, retihuka
🏂🏼	hukarere, kaipaparetihuka, kaipaparetihuka: kiri āhua māmā-waenga, kiri āhua māmā-waenga, paparetihuka, retihuka
🏂🏽	hukarere, kaipaparetihuka, kaipaparetihuka: kiri āhua waenga, kiri āhua waenga, paparetihuka, retihuka
🏂🏾	hukarere, kaipaparetihuka, kaipaparetihuka: kiri āhua waenga-parauri, kiri āhua waenga-parauri, paparetihuka, retihuka
🏂🏿	hukarere, kaipaparetihuka, kaipaparetihuka: kiri āhua parauri, kiri āhua parauri, paparetihuka, retihuka
🏌️	haupōro, pōro, tangata haupōro
🏌🏻	haupōro, kiri āhua māmā, pōro, tangata haupōro, tangata haupōro: kiri āhua māmā
🏌🏼	haupōro, kiri āhua māmā-waenga, pōro, tangata haupōro, tangata haupōro: kiri āhua māmā-waenga
🏌🏽	haupōro, kiri āhua waenga, pōro, tangata haupōro, tangata haupōro: kiri āhua waenga
🏌🏾	haupōro, kiri āhua waenga-parauri, pōro, tangata haupōro, tangata haupōro: kiri āhua waenga-parauri
🏌🏿	haupōro, kiri āhua parauri, pōro, tangata haupōro, tangata haupōro: kiri āhua parauri
🏌‍♂	haupōro, tāne, tāne haupōro
🏌🏻‍♂	haupōro, kiri āhua māmā, tāne, tāne haupōro: kiri āhua māmā
🏌🏼‍♂	haupōro, kiri āhua māmā-waenga, tāne, tāne haupōro: kiri āhua māmā-waenga
🏌🏽‍♂	haupōro, kiri āhua waenga, tāne, tāne haupōro: kiri āhua waenga
🏌🏾‍♂	haupōro, kiri āhua waenga-parauri, tāne, tāne haupōro: kiri āhua waenga-parauri
🏌🏿‍♂	haupōro, kiri āhua parauri, tāne, tāne haupōro: kiri āhua parauri
🏌‍♀	haupōro, wahine, wahine haupōro
🏌🏻‍♀	haupōro, kiri āhua māmā, wahine, wahine haupōro: kiri āhua māmā
🏌🏼‍♀	haupōro, kiri āhua māmā-waenga, wahine, wahine haupōro: kiri āhua māmā-waenga
🏌🏽‍♀	haupōro, kiri āhua waenga, wahine, wahine haupōro: kiri āhua waenga
🏌🏾‍♀	haupōro, kiri āhua waenga-parauri, wahine, wahine haupōro: kiri āhua waenga-parauri
🏌🏿‍♀	haupōro, kiri āhua parauri, wahine, wahine haupōro: kiri āhua parauri
🏄️	tangata whakaheke ngaru, whakaheke ngaru
🏄🏻	kiri āhua māmā, tangata whakaheke ngaru, tangata whakaheke ngaru: kiri āhua māmā, whakaheke ngaru
🏄🏼	kiri āhua māmā-waenga, tangata whakaheke ngaru, tangata whakaheke ngaru: kiri āhua māmā-waenga, whakaheke ngaru
🏄🏽	kiri āhua waenga, tangata whakaheke ngaru, tangata whakaheke ngaru: kiri āhua waenga, whakaheke ngaru
🏄🏾	kiri āhua waenga-parauri, tangata whakaheke ngaru, tangata whakaheke ngaru: kiri āhua waenga-parauri, whakaheke ngaru
🏄🏿	kiri āhua parauri, tangata whakaheke ngaru, tangata whakaheke ngaru: kiri āhua parauri, whakaheke ngaru
🏄‍♂	tāne, tāne whakaheke ngaru, whakaheke ngaru
🏄🏻‍♂	kiri āhua māmā, tāne, tāne whakaheke ngaru, tāne whakaheke ngaru: kiri āhua māmā, whakaheke ngaru
🏄🏼‍♂	kiri āhua māmā-waenga, tāne, tāne whakaheke ngaru, tāne whakaheke ngaru: kiri āhua māmā-waenga, whakaheke ngaru
🏄🏽‍♂	kiri āhua waenga, tāne, tāne whakaheke ngaru, tāne whakaheke ngaru: kiri āhua waenga, whakaheke ngaru
🏄🏾‍♂	kiri āhua waenga-parauri, tāne, tāne whakaheke ngaru, tāne whakaheke ngaru: kiri āhua waenga-parauri, whakaheke ngaru
🏄🏿‍♂	kiri āhua parauri, tāne, tāne whakaheke ngaru, tāne whakaheke ngaru: kiri āhua parauri, whakaheke ngaru
🏄‍♀	wahine, wahine whakaheke ngaru, whakaheke ngaru
🏄🏻‍♀	kiri āhua māmā, wahine, wahine whakaheke ngaru, wahine whakaheke ngaru: kiri āhua māmā, whakaheke ngaru
🏄🏼‍♀	kiri āhua māmā-waenga, wahine, wahine whakaheke ngaru, wahine whakaheke ngaru: kiri āhua māmā-waenga, whakaheke ngaru
🏄🏽‍♀	kiri āhua waenga, wahine, wahine whakaheke ngaru, wahine whakaheke ngaru: kiri āhua waenga, whakaheke ngaru
🏄🏾‍♀	kiri āhua waenga-parauri, wahine, wahine whakaheke ngaru, wahine whakaheke ngaru: kiri āhua waenga-parauri, whakaheke ngaru
🏄🏿‍♀	kiri āhua parauri, wahine, wahine whakaheke ngaru, wahine whakaheke ngaru: kiri āhua parauri, whakaheke ngaru
🚣	poti, tangata hoe waka, waka hoe
🚣🏻	kiri āhua māmā, poti, tangata hoe waka, tangata hoe waka: kiri āhua māmā, waka hoe
🚣🏼	kiri āhua māmā-waenga, poti, tangata hoe waka, tangata hoe waka: kiri āhua māmā-waenga, waka hoe
🚣🏽	kiri āhua waenga, poti, tangata hoe waka, tangata hoe waka: kiri āhua waenga, waka hoe
🚣🏾	kiri āhua waenga-parauri, poti, tangata hoe waka, tangata hoe waka: kiri āhua waenga-parauri, waka hoe
🚣🏿	kiri āhua parauri, poti, tangata hoe waka, tangata hoe waka: kiri āhua parauri, waka hoe
🚣‍♂	poti, tāne, tāne hoe waka, wakahoe
🚣🏻‍♂	kiri āhua māmā, poti, tāne, tāne hoe waka, tāne hoe waka: kiri āhua māmā, wakahoe
🚣🏼‍♂	kiri āhua māmā-waenga, poti, tāne, tāne hoe waka, tāne hoe waka: kiri āhua māmā-waenga, wakahoe
🚣🏽‍♂	kiri āhua waenga, poti, tāne, tāne hoe waka, tāne hoe waka: kiri āhua waenga, wakahoe
🚣🏾‍♂	kiri āhua waenga-parauri, poti, tāne, tāne hoe waka, tāne hoe waka: kiri āhua waenga-parauri, wakahoe
🚣🏿‍♂	kiri āhua parauri, poti, tāne, tāne hoe waka, tāne hoe waka: kiri āhua parauri, wakahoe
🚣‍♀	poti, wahine, wahine hoe waka, wakahoe
🚣🏻‍♀	kiri āhua māmā, poti, wahine, wahine hoe waka, wahine hoe waka: kiri āhua māmā, wakahoe
🚣🏼‍♀	kiri āhua māmā-waenga, poti, wahine, wahine hoe waka, wahine hoe waka: kiri āhua māmā-waenga, wakahoe
🚣🏽‍♀	kiri āhua waenga, poti, wahine, wahine hoe waka, wahine hoe waka: kiri āhua waenga, wakahoe
🚣🏾‍♀	kiri āhua waenga-parauri, poti, wahine, wahine hoe waka, wahine hoe waka: kiri āhua waenga-parauri, wakahoe
🚣🏿‍♀	kiri āhua parauri, poti, wahine, wahine hoe waka, wahine hoe waka: kiri āhua parauri, wakahoe
🏊️	kauhoe, tangata kauhoe
🏊🏻	kauhoe, kiri āhua māmā, tangata kauhoe, tangata kauhoe: kiri āhua māmā
🏊🏼	kauhoe, kiri āhua māmā-waenga, tangata kauhoe, tangata kauhoe: kiri āhua māmā-waenga
🏊🏽	kauhoe, kiri āhua waenga, tangata kauhoe, tangata kauhoe: kiri āhua waenga
🏊🏾	kauhoe, kiri āhua waenga-parauri, tangata kauhoe, tangata kauhoe: kiri āhua waenga-parauri
🏊🏿	kauhoe, kiri āhua parauri, tangata kauhoe, tangata kauhoe: kiri āhua parauri
🏊‍♂	kauhoe, tāne, tāne kauhoe
🏊🏻‍♂	kauhoe, kiri āhua māmā, tāne, tāne kauhoe: kiri āhua māmā
🏊🏼‍♂	kauhoe, kiri āhua māmā-waenga, tāne, tāne kauhoe: kiri āhua māmā-waenga
🏊🏽‍♂	kauhoe, kiri āhua waenga, tāne, tāne kauhoe: kiri āhua waenga
🏊🏾‍♂	kauhoe, kiri āhua waenga-parauri, tāne, tāne kauhoe: kiri āhua waenga-parauri
🏊🏿‍♂	kauhoe, kiri āhua parauri, tāne, tāne kauhoe: kiri āhua parauri
🏊‍♀	kauhoe, wahine, wahine kauhoe
🏊🏻‍♀	kauhoe, kiri āhua māmā, wahine, wahine kauhoe: kiri āhua māmā
🏊🏼‍♀	kauhoe, kiri āhua māmā-waenga, wahine, wahine kauhoe: kiri āhua māmā-waenga
🏊🏽‍♀	kauhoe, kiri āhua waenga, wahine, wahine kauhoe: kiri āhua waenga
🏊🏾‍♀	kauhoe, kiri āhua waenga-parauri, wahine, wahine kauhoe: kiri āhua waenga-parauri
🏊🏿‍♀	kauhoe, kiri āhua parauri, wahine, wahine kauhoe: kiri āhua parauri
⛹️	pōro, tangata tāwhana pōro
⛹🏻	kiri āhua māmā, pōro, tangata tāwhana pōro, tangata tāwhana pōro: kiri āhua māmā
⛹🏼	kiri āhua māmā-waenga, pōro, tangata tāwhana pōro, tangata tāwhana pōro: kiri āhua māmā-waenga
⛹🏽	kiri āhua waenga, pōro, tangata tāwhana pōro, tangata tāwhana pōro: kiri āhua waenga
⛹🏾	kiri āhua waenga-parauri, pōro, tangata tāwhana pōro, tangata tāwhana pōro: kiri āhua waenga-parauri
⛹🏿	kiri āhua parauri, pōro, tangata tāwhana pōro, tangata tāwhana pōro: kiri āhua parauri
⛹‍♂	pōro, tāne, tāne tāwhana pōro
⛹🏻‍♂	kiri āhua māmā, pōro, tāne, tāne tāwhana pōro, tāne tāwhana pōro: kiri āhua māmā
⛹🏼‍♂	kiri āhua māmā-waenga, pōro, tāne, tāne tāwhana pōro, tāne tāwhana pōro: kiri āhua māmā-waenga
⛹🏽‍♂	kiri āhua waenga, pōro, tāne, tāne tāwhana pōro, tāne tāwhana pōro: kiri āhua waenga
⛹🏾‍♂	kiri āhua waenga-parauri, pōro, tāne, tāne tāwhana pōro, tāne tāwhana pōro: kiri āhua waenga-parauri
⛹🏿‍♂	kiri āhua parauri, pōro, tāne, tāne tāwhana pōro, tāne tāwhana pōro: kiri āhua parauri
⛹‍♀	pōro, wahine, wahine tāwhana pōro
⛹🏻‍♀	kiri āhua māmā, pōro, wahine, wahine tāwhana pōro, wahine tāwhana pōro: kiri āhua māmā
⛹🏼‍♀	kiri āhua māmā-waenga, pōro, wahine, wahine tāwhana pōro, wahine tāwhana pōro: kiri āhua māmā-waenga
⛹🏽‍♀	kiri āhua waenga, pōro, wahine, wahine tāwhana pōro, wahine tāwhana pōro: kiri āhua waenga
⛹🏾‍♀	kiri āhua waenga-parauri, pōro, wahine, wahine tāwhana pōro, wahine tāwhana pōro: kiri āhua waenga-parauri
⛹🏿‍♀	kiri āhua parauri, pōro, wahine, wahine tāwhana pōro, wahine tāwhana pōro: kiri āhua parauri
🏋️	kaihiki, tangata hiki taumaha, taumaha
🏋🏻	kaihiki, kiri āhua māmā, tangata hiki taumaha, tangata hiki taumaha: kiri āhua māmā, taumaha
🏋🏼	kaihiki, kiri āhua māmā-waenga, tangata hiki taumaha, tangata hiki taumaha: kiri āhua māmā-waenga, taumaha
🏋🏽	kaihiki, kiri āhua waenga, tangata hiki taumaha, tangata hiki taumaha: kiri āhua waenga, taumaha
🏋🏾	kaihiki, kiri āhua waenga-parauri, tangata hiki taumaha, tangata hiki taumaha: kiri āhua waenga-parauri, taumaha
🏋🏿	kaihiki, kiri āhua parauri, tangata hiki taumaha, tangata hiki taumaha: kiri āhua parauri, taumaha
🏋‍♂	kaihiki taumaha, tāne, tāne hiki taumaha
🏋🏻‍♂	kaihiki taumaha, kiri āhua māmā, tāne, tāne hiki taumaha, tāne hiki taumaha: kiri āhua māmā
🏋🏼‍♂	kaihiki taumaha, kiri āhua māmā-waenga, tāne, tāne hiki taumaha, tāne hiki taumaha: kiri āhua māmā-waenga
🏋🏽‍♂	kaihiki taumaha, kiri āhua waenga, tāne, tāne hiki taumaha, tāne hiki taumaha: kiri āhua waenga
🏋🏾‍♂	kaihiki taumaha, kiri āhua waenga-parauri, tāne, tāne hiki taumaha, tāne hiki taumaha: kiri āhua waenga-parauri
🏋🏿‍♂	kaihiki taumaha, kiri āhua parauri, tāne, tāne hiki taumaha, tāne hiki taumaha: kiri āhua parauri
🏋‍♀	kaihiki taumaha, wahine, wahine hiki taumaha
🏋🏻‍♀	kaihiki taumaha, kiri āhua māmā, wahine, wahine hiki taumaha, wahine hiki taumaha: kiri āhua māmā
🏋🏼‍♀	kaihiki taumaha, kiri āhua māmā-waenga, wahine, wahine hiki taumaha, wahine hiki taumaha: kiri āhua māmā-waenga
🏋🏽‍♀	kaihiki taumaha, kiri āhua waenga, wahine, wahine hiki taumaha, wahine hiki taumaha: kiri āhua waenga
🏋🏾‍♀	kaihiki taumaha, kiri āhua waenga-parauri, wahine, wahine hiki taumaha, wahine hiki taumaha: kiri āhua waenga-parauri
🏋🏿‍♀	kaihiki taumaha, kiri āhua parauri, wahine, wahine hiki taumaha, wahine hiki taumaha: kiri āhua parauri
🚴	eke pahikara, kaieke pahikara, pahikara, tangata eke pahikara
🚴🏻	eke pahikara, kaieke pahikara, kiri āhua māmā, pahikara, tangata eke pahikara, tangata eke pahikara: kiri āhua māmā
🚴🏼	eke pahikara, kaieke pahikara, kiri āhua māmā-waenga, pahikara, tangata eke pahikara, tangata eke pahikara: kiri āhua māmā-waenga
🚴🏽	eke pahikara, kaieke pahikara, kiri āhua waenga, pahikara, tangata eke pahikara, tangata eke pahikara: kiri āhua waenga
🚴🏾	eke pahikara, kaieke pahikara, kiri āhua waenga-parauri, pahikara, tangata eke pahikara, tangata eke pahikara: kiri āhua waenga-parauri
🚴🏿	eke pahikara, kaieke pahikara, kiri āhua parauri, pahikara, tangata eke pahikara, tangata eke pahikara: kiri āhua parauri
🚴‍♂	eke pahikara, kaieke pahikara, pahikara, tāne, tāne eke pahikara
🚴🏻‍♂	eke pahikara, kaieke pahikara, kiri āhua māmā, pahikara, tāne, tāne eke pahikara, tāne eke pahikara: kiri āhua māmā
🚴🏼‍♂	eke pahikara, kaieke pahikara, kiri āhua māmā-waenga, pahikara, tāne, tāne eke pahikara, tāne eke pahikara: kiri āhua māmā-waenga
🚴🏽‍♂	eke pahikara, kaieke pahikara, kiri āhua waenga, pahikara, tāne, tāne eke pahikara, tāne eke pahikara: kiri āhua waenga
🚴🏾‍♂	eke pahikara, kaieke pahikara, kiri āhua waenga-parauri, pahikara, tāne, tāne eke pahikara, tāne eke pahikara: kiri āhua waenga-parauri
🚴🏿‍♂	eke pahikara, kaieke pahikara, kiri āhua parauri, pahikara, tāne, tāne eke pahikara, tāne eke pahikara: kiri āhua parauri
🚴‍♀	eke pahikara, kaieke pahikara, pahikara, wahine, wahine eke pahikara
🚴🏻‍♀	eke pahikara, kaieke pahikara, kiri āhua māmā, pahikara, wahine, wahine eke pahikara, wahine eke pahikara: kiri āhua māmā
🚴🏼‍♀	eke pahikara, kaieke pahikara, kiri āhua māmā-waenga, pahikara, wahine, wahine eke pahikara, wahine eke pahikara: kiri āhua māmā-waenga
🚴🏽‍♀	eke pahikara, kaieke pahikara, kiri āhua waenga, pahikara, wahine, wahine eke pahikara, wahine eke pahikara: kiri āhua waenga
🚴🏾‍♀	eke pahikara, kaieke pahikara, kiri āhua waenga-parauri, pahikara, wahine, wahine eke pahikara, wahine eke pahikara: kiri āhua waenga-parauri
🚴🏿‍♀	eke pahikara, kaieke pahikara, kiri āhua parauri, pahikara, wahine, wahine eke pahikara, wahine eke pahikara: kiri āhua parauri
🚵	kaieke pahikara, maunga, pahikara, tangata eke pahikara maunga
🚵🏻	kaieke pahikara, kiri āhua māmā, maunga, pahikara, tangata eke pahikara maunga, tangata eke pahikara maunga: kiri āhua māmā
🚵🏼	kaieke pahikara, kiri āhua māmā-waenga, maunga, pahikara, tangata eke pahikara maunga, tangata eke pahikara maunga: kiri āhua māmā-waenga
🚵🏽	kaieke pahikara, kiri āhua waenga, maunga, pahikara, tangata eke pahikara maunga, tangata eke pahikara maunga: kiri āhua waenga
🚵🏾	kaieke pahikara, kiri āhua waenga-parauri, maunga, pahikara, tangata eke pahikara maunga, tangata eke pahikara maunga: kiri āhua waenga-parauri
🚵🏿	kaieke pahikara, kiri āhua parauri, maunga, pahikara, tangata eke pahikara maunga, tangata eke pahikara maunga: kiri āhua parauri
🚵‍♂	kaieke pahikara, maunga, pahikara, tāne, tāne eke pahikara maunga
🚵🏻‍♂	kaieke pahikara, kiri āhua māmā, maunga, pahikara, tāne, tāne eke pahikara maunga, tāne eke pahikara maunga: kiri āhua māmā
🚵🏼‍♂	kaieke pahikara, kiri āhua māmā-waenga, maunga, pahikara, tāne, tāne eke pahikara maunga, tāne eke pahikara maunga: kiri āhua māmā-waenga
🚵🏽‍♂	kaieke pahikara, kiri āhua waenga, maunga, pahikara, tāne, tāne eke pahikara maunga, tāne eke pahikara maunga: kiri āhua waenga
🚵🏾‍♂	kaieke pahikara, kiri āhua waenga-parauri, maunga, pahikara, tāne, tāne eke pahikara maunga, tāne eke pahikara maunga: kiri āhua waenga-parauri
🚵🏿‍♂	kaieke pahikara, kiri āhua parauri, maunga, pahikara, tāne, tāne eke pahikara maunga, tāne eke pahikara maunga: kiri āhua parauri
🚵‍♀	eke pahikara, kaieke pahikara, maunga, pahikara, wahine, wahine eke pahikara maunga
🚵🏻‍♀	eke pahikara, kaieke pahikara, kiri āhua māmā, maunga, pahikara, wahine, wahine eke pahikara maunga, wahine eke pahikara maunga: kiri āhua māmā
🚵🏼‍♀	eke pahikara, kaieke pahikara, kiri āhua māmā-waenga, maunga, pahikara, wahine, wahine eke pahikara maunga, wahine eke pahikara maunga: kiri āhua māmā-waenga
🚵🏽‍♀	eke pahikara, kaieke pahikara, kiri āhua waenga, maunga, pahikara, wahine, wahine eke pahikara maunga, wahine eke pahikara maunga: kiri āhua waenga
🚵🏾‍♀	eke pahikara, kaieke pahikara, kiri āhua waenga-parauri, maunga, pahikara, wahine, wahine eke pahikara maunga, wahine eke pahikara maunga: kiri āhua waenga-parauri
🚵🏿‍♀	eke pahikara, kaieke pahikara, kiri āhua parauri, maunga, pahikara, wahine, wahine eke pahikara maunga, wahine eke pahikara maunga: kiri āhua parauri
🤸	kātawīra, takaporepore, tangata kātawīra
🤸🏻	kiri āhua māmā, kātawīra, takaporepore, tangata kātawīra, tangata kātawīra: kiri āhua māmā
🤸🏼	kiri āhua māmā-waenga, kātawīra, takaporepore, tangata kātawīra, tangata kātawīra: kiri āhua māmā-waenga
🤸🏽	kiri āhua waenga, kātawīra, takaporepore, tangata kātawīra, tangata kātawīra: kiri āhua waenga
🤸🏾	kiri āhua waenga-parauri, kātawīra, takaporepore, tangata kātawīra, tangata kātawīra: kiri āhua waenga-parauri
🤸🏿	kiri āhua parauri, kātawīra, takaporepore, tangata kātawīra, tangata kātawīra: kiri āhua parauri
🤸‍♂	kātawīra, takaporepore, tāne, tāne kātawīra
🤸🏻‍♂	kiri āhua māmā, kātawīra, takaporepore, tāne, tāne kātawīra: kiri āhua māmā
🤸🏼‍♂	kiri āhua māmā-waenga, kātawīra, takaporepore, tāne, tāne kātawīra: kiri āhua māmā-waenga
🤸🏽‍♂	kiri āhua waenga, kātawīra, takaporepore, tāne, tāne kātawīra: kiri āhua waenga
🤸🏾‍♂	kiri āhua waenga-parauri, kātawīra, takaporepore, tāne, tāne kātawīra: kiri āhua waenga-parauri
🤸🏿‍♂	kiri āhua parauri, kātawīra, takaporepore, tāne, tāne kātawīra: kiri āhua parauri
🤸‍♀	kātawīra, takaporepore, wahine, wahine kātawīra
🤸🏻‍♀	kiri āhua māmā, kātawīra, takaporepore, wahine, wahine kātawīra: kiri āhua māmā
🤸🏼‍♀	kiri āhua māmā-waenga, kātawīra, takaporepore, wahine, wahine kātawīra: kiri āhua māmā-waenga
