‾	apɔju
🤵🏿	adúláwɔ̀, kóòtù, Ɔkunrin Pɛlu Kootu, Ɔkunrin Pɛlu Kootu: adúláwɔ̀, ɔkùnrin, ɔkɔ ìyàwó
👰	Iyawo Pɛlu Iboju, ìbòjú, ìgbéyàwó, ìyàwó
👰🏻	Iyawo Pɛlu Iboju, Iyawo Pɛlu Iboju: amɔ́lára, amɔ́lára, ìbòjú, ìgbéyàwó, ìyàwó
👰🏼	Iyawo Pɛlu Iboju, Iyawo Pɛlu Iboju: amɔ́lára díɛ̀, amɔ́lára díɛ̀, ìbòjú, ìgbéyàwó, ìyàwó
👰🏽	Iyawo Pɛlu Iboju, Iyawo Pɛlu Iboju: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, ìbòjú, ìgbéyàwó, ìyàwó
👰🏾	Iyawo Pɛlu Iboju, Iyawo Pɛlu Iboju: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, ìbòjú, ìgbéyàwó, ìyàwó
👰🏿	Iyawo Pɛlu Iboju, Iyawo Pɛlu Iboju: adúláwɔ̀, adúláwɔ̀, ìbòjú, ìgbéyàwó, ìyàwó
🤰🏻	alaboyun, amɔ́lára, obinrin, obinrin alaboyun: amɔ́lára
🤰🏼	alaboyun, amɔ́lára díɛ̀, obinrin, obinrin alaboyun: amɔ́lára díɛ̀
🤰🏽	alaboyun, amɔ́láwɔ̀ díɛ̀, obinrin, obinrin alaboyun: amɔ́láwɔ̀ díɛ̀
🤰🏾	adúláwɔ̀ díɛ̀, alaboyun, obinrin, obinrin alaboyun: adúláwɔ̀ díɛ̀
🤰🏿	adúláwɔ̀, alaboyun, obinrin, obinrin alaboyun: adúláwɔ̀
🤱	ìfɔ́mɔlɔ́yàn, ìkókó, ìtɔ́jú ɔmɔ, ɔyɔ̀n
🤱🏻	amɔ́lára, ìfɔ́mɔlɔ́yàn, ìfɔ́mɔlɔ́yàn: amɔ́lára, ìkókó, ìtɔ́jú ɔmɔ, ɔyɔ̀n
🤱🏼	amɔ́lára díɛ̀, ìfɔ́mɔlɔ́yàn, ìfɔ́mɔlɔ́yàn: amɔ́lára díɛ̀, ìkókó, ìtɔ́jú ɔmɔ, ɔyɔ̀n
🤱🏽	amɔ́láwɔ̀ díɛ̀, ìfɔ́mɔlɔ́yàn, ìfɔ́mɔlɔ́yàn: amɔ́láwɔ̀ díɛ̀, ìkókó, ìtɔ́jú ɔmɔ, ɔyɔ̀n
🤱🏾	adúláwɔ̀ díɛ̀, ìfɔ́mɔlɔ́yàn, ìfɔ́mɔlɔ́yàn: adúláwɔ̀ díɛ̀, ìkókó, ìtɔ́jú ɔmɔ, ɔyɔ̀n
🤱🏿	adúláwɔ̀, ìfɔ́mɔlɔ́yàn, ìfɔ́mɔlɔ́yàn: adúláwɔ̀, ìkókó, ìtɔ́jú ɔmɔ, ɔyɔ̀n
👼	ojú, àlá, ángɛli ìkókó, áńgɛ́lì, ìkókó, ìtàn ɔmɔdé
👼🏻	amɔ́lára, ojú, àlá, ángɛli ìkókó, ángɛli ìkókó: amɔ́lára, áńgɛ́lì, ìkókó, ìtàn ɔmɔdé
👼🏼	amɔ́lára díɛ̀, ojú, àlá, ángɛli ìkókó, ángɛli ìkókó: amɔ́lára díɛ̀, áńgɛ́lì, ìkókó, ìtàn ɔmɔdé
👼🏽	amɔ́láwɔ̀ díɛ̀, ojú, àlá, ángɛli ìkókó, ángɛli ìkókó: amɔ́láwɔ̀ díɛ̀, áńgɛ́lì, ìkókó, ìtàn ɔmɔdé
👼🏾	adúláwɔ̀ díɛ̀, ojú, àlá, ángɛli ìkókó, ángɛli ìkókó: adúláwɔ̀ díɛ̀, áńgɛ́lì, ìkókó, ìtàn ɔmɔdé
👼🏿	adúláwɔ̀, ojú, àlá, ángɛli ìkókó, ángɛli ìkókó: adúláwɔ̀, áńgɛ́lì, ìkókó, ìtàn ɔmɔdé
🎅	Baba Keresi, ayɛyɛ, baba, kérésì
🎅🏻	Baba Keresi, Baba Keresi: amɔ́lára, amɔ́lára, ayɛyɛ, baba, kérésì
🎅🏼	Baba Keresi, Baba Keresi: amɔ́lára díɛ̀, amɔ́lára díɛ̀, ayɛyɛ, baba, kérésì
🎅🏽	Baba Keresi, Baba Keresi: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, ayɛyɛ, baba, kérésì
🎅🏾	Baba Keresi, Baba Keresi: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, ayɛyɛ, baba, kérésì
🎅🏿	Baba Keresi, Baba Keresi: adúláwɔ̀, adúláwɔ̀, ayɛyɛ, baba, kérésì
🤶	Arabinrin Keresi, [kɛrɛsí, ayɛyɛ, kérésì, omidan, ìyá
🤶🏻	Arabinrin Keresi, Arabinrin Keresi: amɔ́lára, [kɛrɛsí, amɔ́lára, ayɛyɛ, kérésì, omidan, ìyá
🤶🏼	Arabinrin Keresi, Arabinrin Keresi: amɔ́lára díɛ̀, [kɛrɛsí, amɔ́lára díɛ̀, ayɛyɛ, kérésì, omidan, ìyá
🤶🏽	Arabinrin Keresi, Arabinrin Keresi: amɔ́láwɔ̀ díɛ̀, [kɛrɛsí, amɔ́láwɔ̀ díɛ̀, ayɛyɛ, kérésì, omidan, ìyá
🤶🏾	Arabinrin Keresi, Arabinrin Keresi: adúláwɔ̀ díɛ̀, [kɛrɛsí, adúláwɔ̀ díɛ̀, ayɛyɛ, kérésì, omidan, ìyá
🤶🏿	Arabinrin Keresi, Arabinrin Keresi: adúláwɔ̀, [kɛrɛsí, adúláwɔ̀, ayɛyɛ, kérésì, omidan, ìyá
🧙	onídán, oshó, àjɛ́
🧙🏻	amɔ́lára, onídán, onídán: amɔ́lára, oshó, àjɛ́
🧙🏼	amɔ́lára díɛ̀, onídán, onídán: amɔ́lára díɛ̀, oshó, àjɛ́
🧙🏽	amɔ́láwɔ̀ díɛ̀, onídán, onídán: amɔ́láwɔ̀ díɛ̀, oshó, àjɛ́
🧙🏾	adúláwɔ̀ díɛ̀, onídán, onídán: adúláwɔ̀ díɛ̀, oshó, àjɛ́
🧙🏿	adúláwɔ̀, onídán, onídán: adúláwɔ̀, oshó, àjɛ́
🧙‍♂	Oshó, Ɔkùnrin onídán
🧙🏻‍♂	Oshó, amɔ́lára, Ɔkùnrin onídán, Ɔkùnrin onídán: amɔ́lára
🧙🏼‍♂	Oshó, amɔ́lára díɛ̀, Ɔkùnrin onídán, Ɔkùnrin onídán: amɔ́lára díɛ̀
🧙🏽‍♂	Oshó, amɔ́láwɔ̀ díɛ̀, Ɔkùnrin onídán, Ɔkùnrin onídán: amɔ́láwɔ̀ díɛ̀
🧙🏾‍♂	Oshó, adúláwɔ̀ díɛ̀, Ɔkùnrin onídán, Ɔkùnrin onídán: adúláwɔ̀ díɛ̀
🧙🏿‍♂	Oshó, adúláwɔ̀, Ɔkùnrin onídán, Ɔkùnrin onídán: adúláwɔ̀
🧙‍♀	Obìnrin onídán, àjé̩, àjɛ́
🧙🏻‍♀	Obìnrin onídán, Obìnrin onídán: amɔ́lára, amɔ́lára, àjé̩, àjɛ́
🧙🏼‍♀	Obìnrin onídán, Obìnrin onídán: amɔ́lára díɛ̀, amɔ́lára díɛ̀, àjé̩, àjɛ́
🧙🏽‍♀	Obìnrin onídán, Obìnrin onídán: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, àjé̩, àjɛ́
🧙🏾‍♀	Obìnrin onídán, Obìnrin onídán: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, àjé̩, àjɛ́
🧙🏿‍♀	Obìnrin onídán, Obìnrin onídán: adúláwɔ̀, adúláwɔ̀, àjé̩, àjɛ́
🧚🏻	Iwin, Iwin: amɔ́lára, Oberon, Puck, Titania, amɔ́lára
🧚🏼	Iwin, Iwin: amɔ́lára díɛ̀, Oberon, Puck, Titania, amɔ́lára díɛ̀
🧚🏽	Iwin, Iwin: amɔ́láwɔ̀ díɛ̀, Oberon, Puck, Titania, amɔ́láwɔ̀ díɛ̀
🧚🏾	Iwin, Iwin: adúláwɔ̀ díɛ̀, Oberon, Puck, Titania, adúláwɔ̀ díɛ̀
🧚🏿	Iwin, Iwin: adúláwɔ̀, Oberon, Puck, Titania, adúláwɔ̀
🧚‍♂	Iwin ɔkùnrin, Oberon, Puck
🧚🏻‍♂	Iwin ɔkùnrin, Iwin ɔkùnrin: amɔ́lára, Oberon, Puck, amɔ́lára
🧚🏼‍♂	Iwin ɔkùnrin, Iwin ɔkùnrin: amɔ́lára díɛ̀, Oberon, Puck, amɔ́lára díɛ̀
🧚🏽‍♂	Iwin ɔkùnrin, Iwin ɔkùnrin: amɔ́láwɔ̀ díɛ̀, Oberon, Puck, amɔ́láwɔ̀ díɛ̀
🧚🏾‍♂	Iwin ɔkùnrin, Iwin ɔkùnrin: adúláwɔ̀ díɛ̀, Oberon, Puck, adúláwɔ̀ díɛ̀
🧚🏿‍♂	Iwin ɔkùnrin, Iwin ɔkùnrin: adúláwɔ̀, Oberon, Puck, adúláwɔ̀
🧚🏻‍♀	Iwin obìnrin, Iwin obìnrin: amɔ́lára, Tìtàníà, amɔ́lára
🧚🏼‍♀	Iwin obìnrin, Iwin obìnrin: amɔ́lára díɛ̀, Tìtàníà, amɔ́lára díɛ̀
🧚🏽‍♀	Iwin obìnrin, Iwin obìnrin: amɔ́láwɔ̀ díɛ̀, Tìtàníà, amɔ́láwɔ̀ díɛ̀
🧚🏾‍♀	Iwin obìnrin, Iwin obìnrin: adúláwɔ̀ díɛ̀, Tìtàníà, adúláwɔ̀ díɛ̀
🧚🏿‍♀	Iwin obìnrin, Iwin obìnrin: adúláwɔ̀, Tìtàníà, adúláwɔ̀
🧛🏻	Dàràkúlà, Fánpáyà, Fánpáyà: amɔ́lára, amɔ́lára, àìkú
🧛🏼	Dàràkúlà, Fánpáyà, Fánpáyà: amɔ́lára díɛ̀, amɔ́lára díɛ̀, àìkú
🧛🏽	Dàràkúlà, Fánpáyà, Fánpáyà: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, àìkú
🧛🏾	Dàràkúlà, Fánpáyà, Fánpáyà: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, àìkú
🧛🏿	Dàràkúlà, Fánpáyà, Fánpáyà: adúláwɔ̀, adúláwɔ̀, àìkú
🧛‍♂	Dàràkúlà, Fánpáyà ɔkùnrin, àìkú
🧛🏻‍♂	Dàràkúlà, Fánpáyà ɔkùnrin, Fánpáyà ɔkùnrin: amɔ́lára, amɔ́lára, àìkú
🧛🏼‍♂	Dàràkúlà, Fánpáyà ɔkùnrin, Fánpáyà ɔkùnrin: amɔ́lára díɛ̀, amɔ́lára díɛ̀, àìkú
🧛🏽‍♂	Dàràkúlà, Fánpáyà ɔkùnrin, Fánpáyà ɔkùnrin: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, àìkú
🧛🏾‍♂	Dàràkúlà, Fánpáyà ɔkùnrin, Fánpáyà ɔkùnrin: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, àìkú
🧛🏿‍♂	Dàràkúlà, Fánpáyà ɔkùnrin, Fánpáyà ɔkùnrin: adúláwɔ̀, adúláwɔ̀, àìkú
🧛🏻‍♀	Fánpáyà obìnrin, Fánpáyà obìnrin: amɔ́lára, amɔ́lára, àìlèkú
🧛🏼‍♀	Fánpáyà obìnrin, Fánpáyà obìnrin: amɔ́lára díɛ̀, amɔ́lára díɛ̀, àìlèkú
🧛🏽‍♀	Fánpáyà obìnrin, Fánpáyà obìnrin: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, àìlèkú
🧛🏾‍♀	Fánpáyà obìnrin, Fánpáyà obìnrin: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, àìlèkú
🧛🏿‍♀	Fánpáyà obìnrin, Fánpáyà obìnrin: adúláwɔ̀, adúláwɔ̀, àìlèkú
🧜	Yemɔja, Yemɔja ènìyàn
🧜🏻	Yemɔja, Yemɔja ènìyàn, Yemɔja ènìyàn: amɔ́lára, amɔ́lára
🧜🏼	Yemɔja, Yemɔja ènìyàn, Yemɔja ènìyàn: amɔ́lára díɛ̀, amɔ́lára díɛ̀
🧜🏽	Yemɔja, Yemɔja ènìyàn, Yemɔja ènìyàn: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀
🧜🏾	Yemɔja, Yemɔja ènìyàn, Yemɔja ènìyàn: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀
🧜🏿	Yemɔja, Yemɔja ènìyàn, Yemɔja ènìyàn: adúláwɔ̀, adúláwɔ̀
🧜‍♂	Triton, Yemɔja ɔkùnrin
🧜🏻‍♂	Triton, Yemɔja ɔkùnrin, Yemɔja ɔkùnrin: amɔ́lára, amɔ́lára
🧜🏼‍♂	Triton, Yemɔja ɔkùnrin, Yemɔja ɔkùnrin: amɔ́lára díɛ̀, amɔ́lára díɛ̀
🧜🏽‍♂	Triton, Yemɔja ɔkùnrin, Yemɔja ɔkùnrin: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀
🧜🏾‍♂	Triton, Yemɔja ɔkùnrin, Yemɔja ɔkùnrin: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀
🧜🏿‍♂	Triton, Yemɔja ɔkùnrin, Yemɔja ɔkùnrin: adúláwɔ̀, adúláwɔ̀
🧜‍♀	Yemɔja obìnrin, iyemɔja
🧜🏻‍♀	Yemɔja obìnrin, amɔ́lára, iyemɔja, iyemɔja: amɔ́lára
🧜🏼‍♀	Yemɔja obìnrin, amɔ́lára díɛ̀, iyemɔja, iyemɔja: amɔ́lára díɛ̀
🧜🏽‍♀	Yemɔja obìnrin, amɔ́láwɔ̀ díɛ̀, iyemɔja, iyemɔja: amɔ́láwɔ̀ díɛ̀
🧜🏾‍♀	Yemɔja obìnrin, adúláwɔ̀ díɛ̀, iyemɔja, iyemɔja: adúláwɔ̀ díɛ̀
🧜🏿‍♀	Yemɔja obìnrin, adúláwɔ̀, iyemɔja, iyemɔja: adúláwɔ̀
🧝🏻	Egbére, Egbére: amɔ́lára, amɔ́lára, ìdán
🧝🏼	Egbére, Egbére: amɔ́lára díɛ̀, amɔ́lára díɛ̀, ìdán
🧝🏽	Egbére, Egbére: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, ìdán
🧝🏾	Egbére, Egbére: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, ìdán
🧝🏿	Egbére, Egbére: adúláwɔ̀, adúláwɔ̀, ìdán
🧝‍♂	egbére ɔkùnrin, ìdán
🧝🏻‍♂	amɔ́lára, egbére ɔkùnrin, egbére ɔkùnrin: amɔ́lára, ìdán
🧝🏼‍♂	amɔ́lára díɛ̀, egbére ɔkùnrin, egbére ɔkùnrin: amɔ́lára díɛ̀, ìdán
🧝🏽‍♂	amɔ́láwɔ̀ díɛ̀, egbére ɔkùnrin, egbére ɔkùnrin: amɔ́láwɔ̀ díɛ̀, ìdán
🧝🏾‍♂	adúláwɔ̀ díɛ̀, egbére ɔkùnrin, egbére ɔkùnrin: adúláwɔ̀ díɛ̀, ìdán
🧝🏿‍♂	adúláwɔ̀, egbére ɔkùnrin, egbére ɔkùnrin: adúláwɔ̀, ìdán
🧝🏻‍♀	amɔ́lára, egbére obìnrin, egbére obìnrin: amɔ́lára, ìdán
🧝🏼‍♀	amɔ́lára díɛ̀, egbére obìnrin, egbére obìnrin: amɔ́lára díɛ̀, ìdán
🧝🏽‍♀	amɔ́láwɔ̀ díɛ̀, egbére obìnrin, egbére obìnrin: amɔ́láwɔ̀ díɛ̀, ìdán
🧝🏾‍♀	adúláwɔ̀ díɛ̀, egbére obìnrin, egbére obìnrin: adúláwɔ̀ díɛ̀, ìdán
🧝🏿‍♀	adúláwɔ̀, egbére obìnrin, egbére obìnrin: adúláwɔ̀, ìdán
🧞	Ànjɔ̀nnú, Ànjɔ̀nnú arabia
🧞‍♂	Ànjɔ̀nnú arabia, Ànjɔ̀nnú ɔkùnrin
🧞‍♀	Ànjɔ̀nnú arabia, Ànjɔ̀nnú obìnrin
🧟	Àìlèkú, àkúdáàyà, Ɛbɔra
🧟‍♂	Àìlèkú, àkúdáàyà, Ɛbɔra ɔkùnrin
🧟‍♀	Àìlèkú, àkúdáàyà, Ɛbɔra obìnrin
💆	ilé onídìrí, ojú, ìfiránshɛ́, ɛni N gba Ishɛ
💆🏻	amɔ́lára, ilé onídìrí, ojú, ìfiránshɛ́, ɛni N gba Ishɛ, ɛni N gba Ishɛ: amɔ́lára
💆🏼	amɔ́lára díɛ̀, ilé onídìrí, ojú, ìfiránshɛ́, ɛni N gba Ishɛ, ɛni N gba Ishɛ: amɔ́lára díɛ̀
💆🏽	amɔ́láwɔ̀ díɛ̀, ilé onídìrí, ojú, ìfiránshɛ́, ɛni N gba Ishɛ, ɛni N gba Ishɛ: amɔ́láwɔ̀ díɛ̀
💆🏾	adúláwɔ̀ díɛ̀, ilé onídìrí, ojú, ìfiránshɛ́, ɛni N gba Ishɛ, ɛni N gba Ishɛ: adúláwɔ̀ díɛ̀
💆🏿	adúláwɔ̀, ilé onídìrí, ojú, ìfiránshɛ́, ɛni N gba Ishɛ, ɛni N gba Ishɛ: adúláwɔ̀
💆‍♂	ojú, ìfiránshɛ́, ɔkùnrin, ɔkùnrin tí ń gba ìfiránshɛ́
💆🏻‍♂	amɔ́lára, ojú, ìfiránshɛ́, ɔkùnrin, ɔkùnrin tí ń gba ìfiránshɛ́, ɔkùnrin tí ń gba ìfiránshɛ́: amɔ́lára
💆🏼‍♂	amɔ́lára díɛ̀, ojú, ìfiránshɛ́, ɔkùnrin, ɔkùnrin tí ń gba ìfiránshɛ́, ɔkùnrin tí ń gba ìfiránshɛ́: amɔ́lára díɛ̀
💆🏽‍♂	amɔ́láwɔ̀ díɛ̀, ojú, ìfiránshɛ́, ɔkùnrin, ɔkùnrin tí ń gba ìfiránshɛ́, ɔkùnrin tí ń gba ìfiránshɛ́: amɔ́láwɔ̀ díɛ̀
💆🏾‍♂	adúláwɔ̀ díɛ̀, ojú, ìfiránshɛ́, ɔkùnrin, ɔkùnrin tí ń gba ìfiránshɛ́, ɔkùnrin tí ń gba ìfiránshɛ́: adúláwɔ̀ díɛ̀
💆🏿‍♂	adúláwɔ̀, ojú, ìfiránshɛ́, ɔkùnrin, ɔkùnrin tí ń gba ìfiránshɛ́, ɔkùnrin tí ń gba ìfiránshɛ́: adúláwɔ̀
💆‍♀	obìnrin, obìnrin tí ń gba ìfiránshɛ́, ojú, ìfiránshɛ́
💆🏻‍♀	amɔ́lára, obìnrin, obìnrin tí ń gba ìfiránshɛ́, obìnrin tí ń gba ìfiránshɛ́: amɔ́lára, ojú, ìfiránshɛ́
💆🏼‍♀	amɔ́lára díɛ̀, obìnrin, obìnrin tí ń gba ìfiránshɛ́, obìnrin tí ń gba ìfiránshɛ́: amɔ́lára díɛ̀, ojú, ìfiránshɛ́
💆🏽‍♀	amɔ́láwɔ̀ díɛ̀, obìnrin, obìnrin tí ń gba ìfiránshɛ́, obìnrin tí ń gba ìfiránshɛ́: amɔ́láwɔ̀ díɛ̀, ojú, ìfiránshɛ́
💆🏾‍♀	adúláwɔ̀ díɛ̀, obìnrin, obìnrin tí ń gba ìfiránshɛ́, obìnrin tí ń gba ìfiránshɛ́: adúláwɔ̀ díɛ̀, ojú, ìfiránshɛ́
💆🏿‍♀	adúláwɔ̀, obìnrin, obìnrin tí ń gba ìfiránshɛ́, obìnrin tí ń gba ìfiránshɛ́: adúláwɔ̀, ojú, ìfiránshɛ́
💇	agɛrun, gérun, ìyàrá ìgbàlejò, Ɛni N Gɛrun, ɛwà
💇🏻	agɛrun, amɔ́lára, gérun, ìyàrá ìgbàlejò, Ɛni N Gɛrun, Ɛni N Gɛrun: amɔ́lára, ɛwà
💇🏼	agɛrun, amɔ́lára díɛ̀, gérun, ìyàrá ìgbàlejò, Ɛni N Gɛrun, Ɛni N Gɛrun: amɔ́lára díɛ̀, ɛwà
💇🏽	agɛrun, amɔ́láwɔ̀ díɛ̀, gérun, ìyàrá ìgbàlejò, Ɛni N Gɛrun, Ɛni N Gɛrun: amɔ́láwɔ̀ díɛ̀, ɛwà
💇🏾	adúláwɔ̀ díɛ̀, agɛrun, gérun, ìyàrá ìgbàlejò, Ɛni N Gɛrun, Ɛni N Gɛrun: adúláwɔ̀ díɛ̀, ɛwà
💇🏿	adúláwɔ̀, agɛrun, gérun, ìyàrá ìgbàlejò, Ɛni N Gɛrun, Ɛni N Gɛrun: adúláwɔ̀, ɛwà
💇‍♂	gɛrun, ɔkùnrin, ɔkùnrin tí ń gɛrun
💇🏻‍♂	amɔ́lára, gɛrun, ɔkùnrin, ɔkùnrin tí ń gɛrun, ɔkùnrin tí ń gɛrun: amɔ́lára
💇🏼‍♂	amɔ́lára díɛ̀, gɛrun, ɔkùnrin, ɔkùnrin tí ń gɛrun, ɔkùnrin tí ń gɛrun: amɔ́lára díɛ̀
💇🏽‍♂	amɔ́láwɔ̀ díɛ̀, gɛrun, ɔkùnrin, ɔkùnrin tí ń gɛrun, ɔkùnrin tí ń gɛrun: amɔ́láwɔ̀ díɛ̀
💇🏾‍♂	adúláwɔ̀ díɛ̀, gɛrun, ɔkùnrin, ɔkùnrin tí ń gɛrun, ɔkùnrin tí ń gɛrun: adúláwɔ̀ díɛ̀
💇🏿‍♂	adúláwɔ̀, gɛrun, ɔkùnrin, ɔkùnrin tí ń gɛrun, ɔkùnrin tí ń gɛrun: adúláwɔ̀
💇‍♀	gɛrun, obìnrin, obìnrin tí ń gɛrun
💇🏻‍♀	amɔ́lára, gɛrun, obìnrin, obìnrin tí ń gɛrun, obìnrin tí ń gɛrun: amɔ́lára
💇🏼‍♀	amɔ́lára díɛ̀, gɛrun, obìnrin, obìnrin tí ń gɛrun, obìnrin tí ń gɛrun: amɔ́lára díɛ̀
💇🏽‍♀	amɔ́láwɔ̀ díɛ̀, gɛrun, obìnrin, obìnrin tí ń gɛrun, obìnrin tí ń gɛrun: amɔ́láwɔ̀ díɛ̀
💇🏾‍♀	adúláwɔ̀ díɛ̀, gɛrun, obìnrin, obìnrin tí ń gɛrun, obìnrin tí ń gɛrun: adúláwɔ̀ díɛ̀
💇🏿‍♀	adúláwɔ̀, gɛrun, obìnrin, obìnrin tí ń gɛrun, obìnrin tí ń gɛrun: adúláwɔ̀
🚶	ìrìn, ń rìn, Ɛni N Rin
🚶🏻	amɔ́lára, ìrìn, ń rìn, Ɛni N Rin, Ɛni N Rin: amɔ́lára
🚶🏼	amɔ́lára díɛ̀, ìrìn, ń rìn, Ɛni N Rin, Ɛni N Rin: amɔ́lára díɛ̀
🚶🏽	amɔ́láwɔ̀ díɛ̀, ìrìn, ń rìn, Ɛni N Rin, Ɛni N Rin: amɔ́láwɔ̀ díɛ̀
🚶🏾	adúláwɔ̀ díɛ̀, ìrìn, ń rìn, Ɛni N Rin, Ɛni N Rin: adúláwɔ̀ díɛ̀
🚶🏿	adúláwɔ̀, ìrìn, ń rìn, Ɛni N Rin, Ɛni N Rin: adúláwɔ̀
🚶‍♂	ìrìn, ɔkùnrin, ɔkùnrin tí ń rìn
🚶🏻‍♂	amɔ́lára, ìrìn, ɔkùnrin, ɔkùnrin tí ń rìn, ɔkùnrin tí ń rìn: amɔ́lára
🚶🏼‍♂	amɔ́lára díɛ̀, ìrìn, ɔkùnrin, ɔkùnrin tí ń rìn, ɔkùnrin tí ń rìn: amɔ́lára díɛ̀
🚶🏽‍♂	amɔ́láwɔ̀ díɛ̀, ìrìn, ɔkùnrin, ɔkùnrin tí ń rìn, ɔkùnrin tí ń rìn: amɔ́láwɔ̀ díɛ̀
🚶🏾‍♂	adúláwɔ̀ díɛ̀, ìrìn, ɔkùnrin, ɔkùnrin tí ń rìn, ɔkùnrin tí ń rìn: adúláwɔ̀ díɛ̀
🚶🏿‍♂	adúláwɔ̀, ìrìn, ɔkùnrin, ɔkùnrin tí ń rìn, ɔkùnrin tí ń rìn: adúláwɔ̀
🚶🏻‍♀	amɔ́lára, obìnrin, obìnrin tí ń rìn, obìnrin tí ń rìn: amɔ́lára, ìrìn
🚶🏼‍♀	amɔ́lára díɛ̀, obìnrin, obìnrin tí ń rìn, obìnrin tí ń rìn: amɔ́lára díɛ̀, ìrìn
🚶🏽‍♀	amɔ́láwɔ̀ díɛ̀, obìnrin, obìnrin tí ń rìn, obìnrin tí ń rìn: amɔ́láwɔ̀ díɛ̀, ìrìn
🚶🏾‍♀	adúláwɔ̀ díɛ̀, obìnrin, obìnrin tí ń rìn, obìnrin tí ń rìn: adúláwɔ̀ díɛ̀, ìrìn
🚶🏿‍♀	adúláwɔ̀, obìnrin, obìnrin tí ń rìn, obìnrin tí ń rìn: adúláwɔ̀, ìrìn
🏃	eré, sáré, Ɛni N Sare
🏃🏻	amɔ́lára, eré, sáré, Ɛni N Sare, Ɛni N Sare: amɔ́lára
🏃🏼	amɔ́lára díɛ̀, eré, sáré, Ɛni N Sare, Ɛni N Sare: amɔ́lára díɛ̀
🏃🏽	amɔ́láwɔ̀ díɛ̀, eré, sáré, Ɛni N Sare, Ɛni N Sare: amɔ́láwɔ̀ díɛ̀
🏃🏾	adúláwɔ̀ díɛ̀, eré, sáré, Ɛni N Sare, Ɛni N Sare: adúláwɔ̀ díɛ̀
🏃🏿	adúláwɔ̀, eré, sáré, Ɛni N Sare, Ɛni N Sare: adúláwɔ̀
🏃‍♂	eré, eré ìdíjɛ, sáré, ɔkùnrin, ɔkùnrin tí ń sáré
🏃🏻‍♂	amɔ́lára, eré, eré ìdíjɛ, sáré, ɔkùnrin, ɔkùnrin tí ń sáré, ɔkùnrin tí ń sáré: amɔ́lára
🏃🏼‍♂	amɔ́lára díɛ̀, eré, eré ìdíjɛ, sáré, ɔkùnrin, ɔkùnrin tí ń sáré, ɔkùnrin tí ń sáré: amɔ́lára díɛ̀
🏃🏽‍♂	amɔ́láwɔ̀ díɛ̀, eré, eré ìdíjɛ, sáré, ɔkùnrin, ɔkùnrin tí ń sáré, ɔkùnrin tí ń sáré: amɔ́láwɔ̀ díɛ̀
🏃🏾‍♂	adúláwɔ̀ díɛ̀, eré, eré ìdíjɛ, sáré, ɔkùnrin, ɔkùnrin tí ń sáré, ɔkùnrin tí ń sáré: adúláwɔ̀ díɛ̀
🏃🏿‍♂	adúláwɔ̀, eré, eré ìdíjɛ, sáré, ɔkùnrin, ɔkùnrin tí ń sáré, ɔkùnrin tí ń sáré: adúláwɔ̀
🏃🏻‍♀	amɔ́lára, eré, eré ìdíje, obìnrin, obìrin tí ń sáré, obìrin tí ń sáré: amɔ́lára, ń sáré
🏃🏼‍♀	amɔ́lára díɛ̀, eré, eré ìdíje, obìnrin, obìrin tí ń sáré, obìrin tí ń sáré: amɔ́lára díɛ̀, ń sáré
🏃🏽‍♀	amɔ́láwɔ̀ díɛ̀, eré, eré ìdíje, obìnrin, obìrin tí ń sáré, obìrin tí ń sáré: amɔ́láwɔ̀ díɛ̀, ń sáré
🏃🏾‍♀	adúláwɔ̀ díɛ̀, eré, eré ìdíje, obìnrin, obìrin tí ń sáré, obìrin tí ń sáré: adúláwɔ̀ díɛ̀, ń sáré
🏃🏿‍♀	adúláwɔ̀, eré, eré ìdíje, obìnrin, obìrin tí ń sáré, obìrin tí ń sáré: adúláwɔ̀, ń sáré
💃🏻	Obinrin Ti Njo, Obinrin Ti Njo: amɔ́lára, Ti Njo, amɔ́lára, obinrin
